Id,SalePrice
2658,168017.55190409374
2718,165694.78292383676
2414,195132.25951638856
1989,131877.5188403187
625,188343.96249589892
333,66175.96645269121
1327,103385.86499795891
858,137522.97223145908
95,197121.60943081017
1568,174168.41140667247
2482,176456.57423956934
1364,153167.5763143665
2584,193680.2623771593
818,230915.02351355055
2673,205807.6478671688
2089,102341.71777032697
1297,164975.62051103692
790,134823.343966759
2616,202301.8672720509
720,233026.22053365098
222,121851.76522474337
557,117824.28793495239
1148,212402.77946133268
2766,177182.5689479489
534,196396.10723960094
1452,98466.44697885195
630,127278.58339130439
2648,154446.60373297948
125,149487.5715892984
1904,3369.3643783986336
1670,96635.2011998886
756,114793.6657437764
717,282524.17888095893
1032,140576.3912603746
852,223119.47276276068
1731,182947.51393019033
2639,129014.17627708174
2071,55564.95107527639
1267,72976.54444961375
1851,202855.63387044347
567,142739.99859347453
2439,222607.44706331202
1898,157605.91889638998
647,156884.602393836
2256,219943.99533645922
979,73189.67843168092
1444,216850.4684883814
2485,106364.43188388358
157,110712.25051439839
88,115720.10139972405
2003,134397.9786164347
186,258829.75216744395
1425,269934.21403663827
2695,138539.2445799867
738,99181.55666179096
395,144736.4661785198
1353,199863.70116418545
1878,158074.92028331422
390,187653.094596457
1456,239363.40725040258
1103,303418.8715772028
1387,150286.02333273416
2070,139811.69215683508
1199,196679.0243693066
2479,175503.37318892122
501,297805.8307482258
2362,60707.39545435566
1718,198334.15272971077
2188,18746.499148865623
1483,136402.75670291836
2557,89851.38251716705
437,299902.742038556
2224,222074.59881719845
1628,176999.4031296492
397,123285.80921457525
587,225384.18757783526
2182,432894.5969744645
971,167369.89836830666
2611,155652.9298342087
1887,56891.43788099862
2399,319580.97698045406
2148,214730.20603427404
304,147163.97274361915
1997,118684.39118081421
2817,118651.94739783744
1431,178312.65225967267
427,325772.6136792534
263,108763.58523803033
598,180931.66593586726
2895,274867.97277389385
687,173704.29435506885
1822,114877.61244504727
2191,115550.39941069615
179,139935.4156971769
1009,216857.7727802123
2010,114103.91278625044
1991,169536.45156870424
1411,165706.12711297578
1721,255012.9135035574
1144,188647.30310871944
593,221538.51412112205
575,272544.5271476045
1249,202857.7492073763
1604,99077.12332404123
1064,386165.6417562014
1923,167470.73177208102
1988,76982.13220077197
2325,160352.68505136136
114,226438.6424588534
2700,200918.39541658634
217,123373.3780765585
343,185420.14340812297
386,246931.82570505058
2005,112255.27964949785
